Village,Water Body,Type,Date,
Bailli Centre 2,Barh Wordi 4,Entiere,6/24/23,
Bailli Centre 2,Barh Wordi 4,Entiere,3/1/23,
Bailli Centre 2,Barh Wordi 5,Entiere,6/24/23,
Bailli Centre 2,Barh Wordi 5,Entiere,3/1/23,
Bailli Centre 2,Barh Wordi 6,Entiere,6/24/23,
Bailli Centre 2,Barh Wordi 6,Entiere,3/1/23,
Bailli Centre 2,Barh Wordi 7,Entiere,3/1/23,
Bailli Centre 2,Blama Badi S1,entiere,2/27/23,
Bailli Centre 2,Blama Badi S2,Barriere,2/27/23,
Bailli Centre 2,Blama Badi S3,entiere,2/27/23,
Bailli Centre 2,Blama Badi S4,entiere,2/27/23,
Bailli Centre 2,Blama Badi S5,entiere,2/27/23,
Bailli Centre 2,Dick 1,Barriere,2/20/23,
Bailli Centre 2,Dick 14,Entiere,4/8/23,
Bailli Centre 2,Dick 14,Entiere,5/6/23,
Bailli Centre 2,Dick 15,Entiere,4/8/23,
Bailli Centre 2,Dick 16,Entiere,4/10/23,
Bailli Centre 2,Dick 17 S1,Section,4/20/23,
Bailli Centre 2,Dick 17 S1,Barriere,6/11/23,
Bailli Centre 2,Dick 17 S1,Section,5/25/23,
Bailli Centre 2,Dick 17 S2,Section,4/20/23,
Bailli Centre 2,Dick 17 S2,Section,6/11/23,
Bailli Centre 2,Dick 17 S2,Section,5/25/23,
Bailli Centre 2,Dick 17 S3,Section,6/11/23,
Bailli Centre 2,Dick 18,Entiere,4/20/23,
Bailli Centre 2,Dick 19,Entiere,4/20/23,
Bailli Centre 2,Dick 2,Entiere,4/12/23,
Bailli Centre 2,Dick 2,entiere,2/20/23,
Bailli Centre 2,Dick 2,Entiere,6/12/23,
Bailli Centre 2,Dick 2,Entiere,3/20/23,
Bailli Centre 2,Dick 2,Entiere,5/13/23,
Bailli Centre 2,Dick 3,Entiere,3/20/23,
Bailli Centre 2,Dick 4,Entiere,4/12/23,
Bailli Centre 2,Dick 4,Entiere,6/12/23,
Bailli Centre 2,Dick 4,Entiere,3/20/23,
Bailli Centre 2,Dick 4,Entiere,5/13/23,
Bailli Centre 2,Dick 5,Entiere,3/20/23,
Bailli Centre 2,Wordi 1,Entiere,3/14/23,
Bailli Centre 2,Wordi 5,Entiere,3/14/23,
Bailli Centre 2,Wordi 8,Entiere,3/14/23,
Bailli Centre 2,Wordi 9,Entiere,3/14/23,
Brazzaville,Bouda Baouboussou,Entiere,4/3/23,
Brazzaville,Bouda Baouboussou,Entiere,4/30/23,
Brazzaville,Bouda Baouboussou,Entiere,6/23/23,
Brazzaville,Bouda Baouboussou,Entiere,3/7/23,
Brazzaville,Bouda Baouboussou,Entiere,5/27/23,
Brazzaville,Boudaarabi,Entiere,4/23/23,
Brazzaville,Boudaarabi,Entiere,6/17/23,
Brazzaville,Boudaarabi,Entiere,3/27/23,
Brazzaville,Boudaarabi,Entiere,5/21/23,
Brazzaville,Boudagaoukoudou,Entiere,4/10/23,
Brazzaville,Boudagaoukoudou,Entiere,3/14/23,
Brazzaville,Boudagueindi,entiere,3/1/23,
Brazzaville,Boudagueyile,Entiere,4/13/23,
Brazzaville,Boudagueyile,Entiere,3/18/23,
Brazzaville,Branche bamoundro 1,Entiere,4/10/23,
Brazzaville,Branche bamoundro 1,Entiere,6/3/23,
Brazzaville,Branche bamoundro 1,Entiere,6/29/23,
Brazzaville,Branche bamoundro 1,Entiere,5/7/23,
Brazzaville,Branche bamoundro 2,Entiere,6/3/23,
Brazzaville,Branche bamoundro 2,Entiere,6/29/23,
Brazzaville,Branche bamoundro 2,Entiere,5/7/23,
Brazzaville,Branche bamoundro 3,Entiere,6/3/23,
Brazzaville,Branche bamoundro 3,Entiere,6/29/23,
Brazzaville,Branche bamoundro 3,Entiere,5/7/23,
Brazzaville,Branche bamoundro 4,Entiere,6/3/23,
Brazzaville,Branche bamoundro 4,Entiere,6/29/23,
Brazzaville,Branche bamoundro 4,Entiere,5/7/23,
Brazzaville,Brangere 1,Entiere,5/21/23,
Brazzaville,Brangere 2,Entiere,5/21/23,
Brazzaville,Meurgueur 1,entiere,2/20/23,
Brazzaville,Meurgueur 2,entiere,2/20/23,
Brazzaville,Meurgueur 2,Entiere,6/23/23,
Brazzaville,Meurgueur 3,Entiere,4/3/23,
Brazzaville,Meurgueur 3,Entiere,4/30/23,
Brazzaville,Meurgueur 3,Entiere,6/23/23,
Brazzaville,Meurgueur 3,Entiere,5/27/23,
Djanta Marba,Bouta Abdou 1,Entiere,8/24/23,
Djanta Marba,Bouta Abdou 1,Entiere,9/21/23,
Djanta Marba,Bouta Abdou 2,Entiere,8/24/23,
Djanta Marba,Bouta Abdou 2,Entiere,9/21/23,
Djanta Marba,Bouta Abdou 3,Entiere,8/24/23,
Djanta Marba,Bouta Abdou 3,Entiere,9/21/23,
Djanta Marba,Bouta Abdou 4,Entiere,8/24/23,
Djanta Marba,Bouta Abdou 4,Entiere,9/21/23,
Djanta Marba,Bouta Abdou 5,Entiere,8/24/23,
Djanta Marba,Bouta Abdou 5,Entiere,9/21/23,
Djanta Marba,Bouta Abdou 6,Entiere,8/29/23,
Djanta Marba,Bouta Abdou 6,Entiere,9/26/23,
Djanta Marba,Bouta Abdou 7,Entiere,8/29/23,
Djanta Marba,Bouta Abdou 7,Entiere,9/26/23,
Djanta Marba,Bouta Abdou 8,Entiere,8/29/23,
Djanta Marba,Bouta Abdou 8,Entiere,9/26/23,
Djanta Marba,Carriere Djanta,,11/10/23,
Djanta Marba,Djargui 2,Entiere,3/4/23,
Djanta Marba,Djargui 3,Entiere,3/4/23,
Djanta Marba,Galile,Entiere,6/11/23,
Djanta Marba,Galile,Entiere,3/19/23,
Djanta Marba,Galile,Entiere,5/13/23,
Djanta Marba,Golong Bagaye 1,Section,6/23/23,
Djanta Marba,Golong Bagaye 1,Section,3/18/23,
Djanta Marba,Golong Bagaye 1,Section,5/22/23,
Djanta Marba,Golong Bagaye 1 S2,Section,5/22/23,
Djanta Marba,Golong Bagaye 2,Section,6/19/23,
Djanta Marba,Golong Bagaye 3,Section,6/19/23,
Djanta Marba,Golong Liguita,Entiere,6/23/23,
Djanta Marba,Golong Liguita,Entiere,5/26/23,
Djanta Marba,Golong Samuel 1,Section,6/6/23,
Djanta Marba,Golong Samuel 1,Section,3/15/23,
Djanta Marba,Golong Samuel 1,Section,5/9/23,
Djanta Marba,Golong Samuel 2,Section,6/6/23,
Djanta Marba,Golong Samuel 2,Section,3/15/23,
Djanta Marba,Golong Samuel 2,Entiere,5/9/23,
Djanta Marba,Golong Samuel 3,Section,6/23/23,
Djanta Marba,Golong Samuel 3,Section,3/15/23,
Djanta Marba,Golong Samuel 4,Entiere,6/11/23,
Djanta Marba,Golong Samuel 4,Entiere,3/19/23,
Djanta Marba,Golong Samuel 4,Entiere,5/13/23,
Djanta Marba,Golong Samuel 5,Entiere,6/19/23,
Djanta Marba,Golong Samuel 5,Entiere,3/27/23,
Djanta Marba,Golong Samuel 5,Entiere,5/21/23,
Djanta Marba,Golong Samuel 6,Section,6/6/23,
Djanta Marba,Golong Samuel 6,Entiere,5/9/23,
Djanta Marba,Golong Samuel 7,Entiere,6/11/23,
Djanta Marba,Golong Samuel 7,Entiere,5/13/23,
Djanta Marba,Golong Samuel 8,Entiere,6/23/23,
Djanta Marba,Golong Samuel 8,Section,5/26/23,
Djanta Marba,Guiringahi Ada,Entiere,8/19/23,
Djanta Marba,Guiringahi Ada,Entiere,9/14/23,
Djanta Marba,Guiringahi Pierre 1,Entiere,8/29/23,
Djanta Marba,Guiringahi Pierre 1,Entiere,9/26/23,
Djanta Marba,Guiringahi Pierre 2,Entiere,8/29/23,
Djanta Marba,Guiringahi Pierre 2,Entiere,9/26/23,
Djanta Marba,Guiringahi Pierre 3,Entiere,9/5/23,
Djanta Marba,Guiringahi Pierre 4,Entiere,9/5/23,
Djanta Marba,Guiringahi Pierre 5,Entiere,9/5/23,
Djanta Marba,Hourgouka ngola,Entiere,8/19/23,
Djanta Marba,Hourgouka ngola,Entiere,9/14/23,
Djanta Marba,Hourgouka ngora,Entiere,8/19/23,
Djanta Marba,Hourgouka ngora,Entiere,9/14/23,
Djanta Sara,Ba Goulaye (1),,4/13/23,
Djanta Sara,Ba Goulaye (1),Entiere,4/13/23,
Djanta Sara,Ba Goulaye (1),,7/6/23,
Djanta Sara,Ba Goulaye (1),Section,6/5/23,
Djanta Sara,Ba Goulaye (1),,3/20/23,
Djanta Sara,Ba Goulaye (1),Entiere,3/18/23,
Djanta Sara,Ba Goulaye (1),,5/28/23,
Djanta Sara,Ba Goulaye (1),Entiere,5/10/23,
Djanta Sara,Ba Goulaye (2),Entiere,7/1/23,
Djanta Sara,Ba Goulaye (2),,3/20/23,
Djanta Sara,Ba Mousa,,4/20/23,
Djanta Sara,Ba Mousa,Entiere,4/10/23,
Djanta Sara,Ba Mousa,Barriere,2/27/23,
Djanta Sara,Ba Mousa,,7/6/23,
Djanta Sara,Ba Mousa,Entiere,6/1/23,
Djanta Sara,Ba Mousa,Section,6/24/23,
Djanta Sara,Ba Mousa,,3/27/23,
Djanta Sara,Ba Mousa,Entiere,3/14/23,
Djanta Sara,Ba Mousa,,5/28/23,
Djanta Sara,Ba Mousa,Entiere,5/7/23,
Djanta Sara,Ba Mousa (S2),Barriere,2/27/23,
Djanta Sara,Ba Mousa (S2),,7/6/23,
Djanta Sara,Bah Goulaye 3,Entiere,7/1/23,
Djanta Sara,Bah Tordi 1,Entiere,7/1/23,
Djanta Sara,Bah Tordi 1,Entiere,7/26/23,
Djanta Sara,Bah Tordi 2,Entiere,7/1/23,
Djanta Sara,Bah Tordi 2,Entiere,7/26/23,
Djanta Sara,Bah Tordi 3,Entiere,7/1/23,
Djanta Sara,Bah Tordi 3,Entiere,7/26/23,
Djanta Sara,Bouta Abadamou,Entiere,9/16/23,
